"Nombre" "Plataforma" "Fecha" "Genero" "VentasEEUU" "VentasEU" "VentasJP" "VentasOtros" "Ventas"
"3441" "SpongeBob SquarePants featuring Nicktoons: Globs of Doom" "PS2" "2008" "Action" 0.29 0.22 0 0.07 0.58
"3442" "The Conduit" "Wii" "2009" "Shooter" 0.29 0.23 0 0.06 0.58
"3443" "Just Dance 2016" "WiiU" "2015" "Misc" 0.28 0.25 0 0.05 0.58
"3444" "Tokimeki Memorial: Forever with You" "PS" "1995" "Simulation" 0 0 0.55 0.04 0.58
"3445" "Diablo" "PS" "1997" "Role-Playing" 0.29 0.19 0.07 0.04 0.58
"3446" "Cabela's Dangerous Hunts 2011" "Wii" "2010" "Sports" 0.53 0.02 0 0.04 0.58
"3447" "NHL 15" "PS4" "2014" "Sports" 0.3 0.18 0 0.1 0.58
"3449" "Romancing SaGa" "PS2" "2005" "Role-Playing" 0.06 0.04 0.47 0.01 0.58
"3450" "The Lord of the Rings: The Third Age" "PS2" "2004" "Role-Playing" 0.49 0.02 0 0.08 0.58
"3451" "Harvest Moon: Sunshine Islands" "DS" "2008" "Simulation" 0.35 0.03 0.17 0.03 0.58
"3452" "Trivial Pursuit" "Wii" "2009" "Misc" 0.21 0.31 0 0.07 0.58
"3453" "The Legend of Spyro: Dawn of the Dragon" "Wii" "2008" "Platform" 0.35 0.18 0 0.05 0.58
"3454" "The Sims 3: World Adventures" "PC" "2009" "Simulation" 0.02 0.18 0 0.39 0.58
"3455" "Kinect Sports Rivals" "XOne" "2014" "Sports" 0.3 0.22 0.02 0.04 0.58
"3456" "Rayman Origins" "Wii" "2011" "Platform" 0.23 0.29 0 0.07 0.58
"3457" "WWE 2K16" "XOne" "2015" "Sports" 0.31 0.22 0 0.05 0.58
"3458" "Titanfall" "PC" "2014" "Shooter" 0.21 0.3 0 0.07 0.58
"3459" "NCAA Football 09" "PS3" "2008" "Sports" 0.54 0 0 0.04 0.58
"3460" "Tom Clancy's HAWX" "X360" "2009" "Action" 0.31 0.19 0.02 0.06 0.58
"3461" "Sammy Sosa High Heat Baseball 2001" "PS" "2000" "Sports" 0.32 0.22 0 0.04 0.58
"3462" "Frozen: Olaf's Quest" "3DS" "2013" "Platform" 0.27 0.26 0 0.05 0.58
"3463" "Terminator 3: Rise of the Machines" "PS2" "2003" "Action" 0.28 0.22 0 0.07 0.58
"3464" "Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)" "X360" "2010" "Shooter" 0.37 0.15 0 0.05 0.58
"3465" "Harvest Moon: The Tale of Two Towns" "DS" "2010" "Simulation" 0.27 0.06 0.22 0.03 0.58
"3466" "FIFA: Road to  World Cup 98" "N64" "1997" "Sports" 0.15 0.39 0 0.03 0.58
"3467" "World Cup 98" "N64" "1998" "Sports" 0.14 0.4 0 0.04 0.58
"3468" "International Superstar Soccer '98" "N64" "1998" "Sports" 0.06 0.3 0.19 0.03 0.58
"3469" "NASCAR: Dirt to Daytona" "PS2" "N/A" "Racing" 0.28 0.22 0 0.07 0.58
"3470" "Unreal Tournament" "PS2" "2000" "Shooter" 0.28 0.22 0 0.07 0.58
"3471" "Digimon World 2" "PS" "2000" "Role-Playing" 0.23 0.16 0.16 0.04 0.58
"3472" "Tales of Phantasia" "PS" "1998" "Role-Playing" 0 0 0.54 0.04 0.58
"3473" "Prince of Persia: The Two Thrones" "XB" "2005" "Action" 0.33 0.22 0 0.03 0.58
"3474" "Xenosaga Episode II: Jenseits von Gut und Böse" "PS2" "2004" "Role-Playing" 0.28 0.22 0 0.07 0.58
"3475" "Gex: Enter the Gecko" "PS" "1998" "Platform" 0.32 0.22 0 0.04 0.58
"3476" "Shrek 2: Beg for Mercy" "GBA" "2004" "Adventure" 0.42 0.15 0 0.01 0.58
"3477" "Mega Man Star Force 2: Zerker x Ninja / Saurian" "DS" "2007" "Action" 0.25 0 0.31 0.02 0.58
"3478" "JoJo's Bizarre Adventure: All Star Battle" "PS3" "2013" "Fighting" 0.05 0.02 0.5 0.01 0.58
"3479" "Petz Nursery" "DS" "2009" "Simulation" 0.53 0 0 0.04 0.58
"3480" "Contra: Shattered Soldier" "PS2" "2002" "Shooter" 0.28 0.22 0 0.07 0.58
"3481" "Championship Motocross featuring Ricky Carmichael" "PS" "1998" "Racing" 0.32 0.22 0 0.04 0.58
"3482" "Dragon Ball Z: Chou Saiya Densetsu" "SNES" "1992" "Role-Playing" 0 0 0.58 0 0.58
"3483" "NBA 2K7" "X360" "2006" "Sports" 0.53 0 0 0.04 0.58
"3484" "WWE 2K16" "PS3" "2015" "Sports" 0.21 0.27 0 0.09 0.58
"3485" "Phoenix Wright: Ace Attorney - Justice for All" "DS" "2006" "Adventure" 0.24 0.05 0.26 0.03 0.58
"3486" "Fire Emblem: Seisen no Keifu" "SNES" "1996" "Strategy" 0 0 0.58 0 0.58
"3487" "Rock Band 3" "PS3" "2010" "Misc" 0.43 0.09 0 0.06 0.58
"3488" "Disgaea 4: A Promise Unforgotten" "PS3" "2011" "Role-Playing" 0.27 0.11 0.14 0.06 0.58
"3489" "BlazBlue: Calamity Trigger" "PS3" "2009" "Fighting" 0.36 0.1 0.06 0.06 0.58
"3490" "Tenchu 2: Birth of the Stealth Assassins" "PS" "2000" "Action" 0.32 0.22 0 0.04 0.58
"3491" "Tony Hawk's Pro Skater 4" "GC" "2002" "Sports" 0.45 0.12 0 0.02 0.58
"3492" "MLB 11: The Show" "PS3" "2011" "Sports" 0.54 0 0 0.04 0.58
"3493" "Naruto: Uzumaki Chronicles 2" "PS2" "2006" "Action" 0.28 0.22 0 0.07 0.58
"3494" "NHL 06" "PS2" "2005" "Sports" 0.48 0.02 0 0.08 0.58
"3495" "NHL 10" "PS3" "2009" "Sports" 0.38 0.12 0 0.07 0.58
"3496" "Rooms: The Main Building" "DS" "2010" "Adventure" 0.1 0.41 0.01 0.06 0.58
"3497" "Rapala: We Fish" "Wii" "2009" "Sports" 0.52 0.02 0 0.04 0.58
"3498" "Parasite Eve II" "PS" "1999" "Role-Playing" 0.32 0.22 0 0.04 0.58
"3499" "Tetris Party Deluxe" "Wii" "2010" "Puzzle" 0.34 0.17 0.02 0.05 0.58
"3500" "NFL Blitz 2000" "N64" "1999" "Sports" 0.55 0.02 0 0 0.58
"3501" "Ratchet & Clank: Quest for Booty" "PS3" "2008" "Platform" 0 0.53 0 0.04 0.58
"3502" "Madden NFL 2002" "XB" "N/A" "Sports" 0.53 0.02 0 0.03 0.58
"3503" "NCAA Football 10" "PS2" "2009" "Sports" 0.28 0.22 0 0.07 0.58
"3504" "Top Spin 3" "PS3" "2008" "Action" 0.08 0.37 0 0.12 0.57
"3505" "Shin Megami Tensei IV" "3DS" "2013" "Role-Playing" 0.28 0 0.27 0.02 0.57
"3506" "Theme Park" "PS" "1994" "Simulation" 0.24 0.16 0.13 0.04 0.57
"3507" "Blacksite: Area 51" "X360" "2007" "Shooter" 0.29 0.23 0 0.06 0.57
"3508" "Spider-Man 3" "X360" "2007" "Platform" 0.49 0.04 0 0.04 0.57
"3509" "ATV Offroad Fury: Blazin' Trails" "PSP" "2005" "Racing" 0.53 0 0 0.04 0.57
"3510" "Far Cry Instincts" "XB" "2005" "Shooter" 0.32 0.24 0 0.02 0.57
"3511" "Hasbro Family Game Night" "PS2" "2008" "Puzzle" 0.28 0.22 0 0.07 0.57
"3512" "Tony Hawk's Pro Skater 4" "GBA" "2002" "Sports" 0.41 0.15 0 0.01 0.57
"3513" "Up" "Wii" "2009" "Action" 0.23 0.28 0 0.06 0.57
"3514" "Tales of the Abyss" "PS2" "2005" "Role-Playing" 0 0 0.57 0 0.57
"3515" "Disney Universe" "X360" "2011" "Action" 0.37 0.15 0 0.05 0.57
"3516" "Iron Man" "X360" "2008" "Action" 0.27 0.24 0 0.06 0.57
"3517" "Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu" "PS" "2000" "Strategy" 0 0 0.54 0.04 0.57
"3518" "Spyro Orange: The Cortex Conspiracy" "GBA" "2004" "Action" 0.41 0.15 0 0.01 0.57
"3519" "Enslaved: Odyssey to the West" "PS3" "2010" "Action" 0.24 0.24 0.01 0.09 0.57
"3520" "SpongeBob SquarePants featuring Nicktoons: Globs of Doom" "DS" "2008" "Action" 0.53 0 0 0.04 0.57
"3521" "Beyond The Beyond" "PS" "1995" "Role-Playing" 0.11 0.08 0.35 0.04 0.57
"3522" "Ben 10: Alien Force" "PS2" "2008" "Action" 0.22 0.02 0 0.33 0.57
"3523" "Tomb Raider: Anniversary" "PSP" "2007" "Action" 0.21 0.23 0 0.13 0.57
"3524" "Warhammer 40,000: Space Marine" "X360" "2011" "Shooter" 0.25 0.27 0 0.06 0.57
"3525" "Madden NFL 06" "GC" "2005" "Sports" 0.44 0.11 0 0.02 0.57
"3526" "No More Heroes" "Wii" "2007" "Action" 0.3 0.17 0.04 0.05 0.57
"3527" "Assassin's Creed II" "PC" "2010" "Action" 0.01 0.45 0 0.11 0.57
"3528" "Petz Wild Animals: Tigerz" "DS" "2008" "Simulation" 0.52 0.01 0 0.04 0.57
"3529" "Naruto: Ultimate Ninja 2" "PS2" "2004" "Fighting" 0.47 0.02 0 0.08 0.57
"3530" "Defiance" "X360" "2013" "Shooter" 0.38 0.15 0 0.04 0.57
"3531" "Dogz" "DS" "2006" "Simulation" 0.51 0.02 0 0.04 0.57
"3532" "3D Dot Game Heroes" "PS3" "2009" "Role-Playing" 0.36 0.12 0.03 0.07 0.57
"3534" "NBA Hangtime" "N64" "1997" "Sports" 0.48 0.08 0 0 0.57
"3535" "Jillian Michaels Fitness Ultimatum 2010" "Wii" "2009" "Sports" 0.52 0.01 0 0.04 0.57
"3536" "Pro Evolution Soccer 2012" "PSP" "2011" "Action" 0.1 0.12 0.29 0.07 0.57
"3537" "Grease" "Wii" "2010" "Misc" 0.27 0.25 0 0.05 0.57
"3538" "Blood Wake" "XB" "2001" "Shooter" 0.43 0.12 0 0.02 0.57
"3539" "Dynasty Warriors 5: Xtreme Legends" "PS2" "2005" "Action" 0.11 0.08 0.35 0.03 0.57
"3540" "Skylanders: Spyro's Adventure" "3DS" "2011" "Action" 0.32 0.2 0 0.05 0.57
"3541" "Dora The Explorer: Dora Saves the Snow Princess" "Wii" "2008" "Platform" 0.5 0.03 0 0.04 0.57
"3542" "Jampack Summer 2002" "PS2" "2002" "Misc" 0.28 0.22 0 0.07 0.57
"3543" "FIFA World Cup Germany 2006" "PS2" "2006" "Sports" 0.47 0.02 0 0.08 0.57
"3544" "Wreckless: ThE YaKuza MisSiOns" "XB" "2002" "Racing" 0.42 0.11 0.02 0.02 0.57
"3545" "Super Bomberman" "SNES" "1992" "Puzzle" 0 0 0.57 0 0.57
"3546" "SpongeBob SquarePants: Battle for Bikini Bottom" "XB" "2003" "Platform" 0.45 0.1 0 0.02 0.57
"3547" "Spec Ops: The Line" "PS3" "2012" "Shooter" 0.19 0.25 0.04 0.09 0.57
"3548" "SD Gundam G Generation Neo" "PS2" "2002" "Strategy" 0 0 0.57 0 0.57
"3549" "Bratz 4 Real" "DS" "2007" "Adventure" 0.29 0.22 0 0.06 0.57
"3550" "RalliSport Challenge" "XB" "2002" "Racing" 0.39 0.16 0 0.02 0.57
"3551" "Resident Evil Outbreak File #2" "PS2" "2004" "Action" 0.19 0.15 0.17 0.05 0.57
"3552" "Bob the Builder: Can We Fix It?" "PS" "2000" "Action" 0.31 0.21 0 0.04 0.57
"3553" "XIII" "PS2" "2003" "Shooter" 0.28 0.22 0 0.07 0.57
"3554" "NHL 14" "PS3" "2013" "Sports" 0.28 0.19 0 0.09 0.57
"3555" "LEGO Rock Band" "X360" "2009" "Misc" 0.4 0.12 0 0.05 0.57
"3556" "Bolt" "Wii" "2008" "Adventure" 0.19 0.31 0 0.06 0.57
"3557" "Top Spin 3" "X360" "2008" "Action" 0.09 0.4 0 0.07 0.57
"3558" "Tom Clancy's HAWX" "PS3" "2009" "Action" 0.21 0.22 0.05 0.09 0.57
"3559" "LEGO Dimensions" "X360" "2015" "Action" 0.24 0.28 0 0.05 0.56
"3560" "Breath of Fire IV" "PS" "2000" "Role-Playing" 0.11 0.08 0.34 0.04 0.56
"3561" "True Crime: Streets of LA" "GC" "2003" "Action" 0.44 0.11 0 0.02 0.56
"3562" "Odin Sphere" "PS2" "2007" "Role-Playing" 0.23 0.18 0.09 0.06 0.56
"3563" "Donkey Kong Jungle Climber" "DS" "2007" "Platform" 0.26 0.04 0.24 0.03 0.56
"3564" "The Incredible Hulk" "GBA" "2003" "Action" 0.4 0.15 0 0.01 0.56
"3565" "Ms. Pac-Man Maze Madness" "GBA" "2004" "Puzzle" 0.4 0.15 0 0.01 0.56
"3566" "Arena Football" "PS2" "2006" "Sports" 0.28 0.22 0 0.07 0.56
"3567" "The Lord of the Rings: The Return of the King" "GBA" "2003" "Action" 0.4 0.15 0 0.01 0.56
"3568" "NHL Hitz 20-02" "PS2" "2001" "Sports" 0.28 0.22 0 0.07 0.56
"3569" "Classic NES Series: Dr. Mario" "GBA" "2004" "Puzzle" 0.31 0.11 0.13 0.01 0.56
"3570" "The Sims: Bustin' Out" "XB" "2003" "Simulation" 0.4 0.14 0 0.02 0.56
"3571" "NCAA March Madness 07" "PS2" "2007" "Sports" 0.28 0.22 0 0.07 0.56
"3572" "Monsters, Inc. Scream Team" "PS" "2001" "Platform" 0.31 0.21 0 0.04 0.56
"3573" "Harry Potter Collection" "PS2" "2006" "Misc" 0.28 0.21 0 0.07 0.56
"3574" "Tony Hawk's Project 8" "PSP" "2006" "Sports" 0.41 0.08 0 0.07 0.56
"3575" "Yu-Gi-Oh! World Championship Tournament 2004" "GBA" "2004" "Misc" 0.4 0.15 0 0.01 0.56
"3576" "Cabela's Big Game Hunter 2005 Adventures" "PS2" "2004" "Sports" 0.28 0.21 0 0.07 0.56
"3577" "Hotel Dusk: Room 215" "DS" "2007" "Adventure" 0.27 0.05 0.22 0.03 0.56
"3578" "Knockout Kings 2001" "PS2" "2001" "Fighting" 0.28 0.21 0 0.07 0.56
"3579" "Army Men: Sarge's Heroes" "PS" "1999" "Action" 0.31 0.21 0 0.04 0.56
"3580" "Phineas and Ferb: Across the 2nd Dimension" "DS" "2011" "Action" 0.32 0.19 0 0.05 0.56
"3581" "Petz Dogz 2" "PS2" "2007" "Simulation" 0.28 0.21 0 0.07 0.56
"3582" "Battlefield 2: Modern Combat" "XB" "2005" "Shooter" 0.39 0.15 0 0.02 0.56
"3583" "Wolfenstein" "X360" "2009" "Shooter" 0.28 0.22 0 0.06 0.56
"3584" "All-Star Baseball 2002" "PS2" "2001" "Sports" 0.27 0.21 0 0.07 0.56
"3585" "Backyard NFL Football" "GBA" "2002" "Sports" 0.4 0.15 0 0.01 0.56
"3586" "Need for Speed: Most Wanted" "GC" "2005" "Racing" 0.43 0.11 0 0.02 0.56
"3587" "NASCAR Rumble" "PS" "2000" "Racing" 0.31 0.21 0 0.04 0.56
"3588" "Tony Hawk: Shred" "Wii" "2010" "Sports" 0.41 0.11 0 0.04 0.56
"3589" "Tony Hawk's Proving Ground" "X360" "2007" "Sports" 0.49 0.02 0 0.04 0.56
"3590" "WWE Raw 2" "XB" "2003" "Fighting" 0.43 0.11 0 0.02 0.56
"3591" "Resident Evil 2" "N64" "1999" "Action" 0.39 0.09 0.07 0.01 0.56
"3592" "Mega Man X2" "SNES" "1993" "Platform" 0.09 0.02 0.45 0 0.56
"3593" "Manhunt 2" "PS2" "2007" "Action" 0.27 0.21 0 0.07 0.56
"3594" "Xenoblade Chronicles" "3DS" "2015" "Role-Playing" 0.26 0.14 0.12 0.04 0.56
"3595" "Fullmetal Alchemist and the Broken Angel" "PS2" "2003" "Role-Playing" 0.15 0.12 0.26 0.04 0.56
"3596" "Monster High: Ghoul Spirit" "Wii" "2011" "Misc" 0.44 0.08 0 0.04 0.56
"3597" "Final Fantasy IV: The Complete Collection" "PSP" "2011" "Role-Playing" 0.13 0.09 0.27 0.06 0.56
"3598" "Frontlines: Fuel of War" "X360" "2008" "Shooter" 0.34 0.15 0.01 0.05 0.56
"3599" "Lips: Number One Hits" "X360" "2009" "Misc" 0.15 0.35 0 0.07 0.56
"3601" "Batman Begins" "PS2" "2005" "Action" 0.27 0.21 0 0.07 0.56
"3602" "Viva Pinata: Pocket Paradise" "DS" "2008" "Simulation" 0.27 0.23 0 0.06 0.56
"3603" "Dr. Seuss' The Cat in the Hat" "PS2" "2003" "Misc" 0.27 0.21 0 0.07 0.56
"3604" "Barbie Groovy Games" "GBA" "2002" "Misc" 0.4 0.15 0 0.01 0.56
"3605" "Yu-Gi-Oh! Reshef of Destruction" "GBA" "2003" "Strategy" 0.4 0.15 0 0.01 0.56
"3606" "Blinx: The Time Sweeper" "XB" "2002" "Platform" 0.39 0.15 0 0.02 0.56
"3607" "Madagascar: Escape 2 Africa" "Wii" "2008" "Action" 0.32 0.18 0 0.05 0.56
"3608" "Archer Maclean's Mercury" "PSP" "2005" "Puzzle" 0.17 0.24 0 0.14 0.56
"3609" "ESPN NFL Football" "PS2" "2003" "Sports" 0.27 0.21 0 0.07 0.56
"3610" "Fatal Fury Special" "SNES" "1994" "Fighting" 0 0 0.56 0 0.56
"3611" "Catz" "DS" "2006" "Simulation" 0.49 0.02 0 0.04 0.56
"3612" "Major League Baseball 2K5" "XB" "2005" "Sports" 0.52 0.02 0 0.02 0.56
"3613" "DS Bimoji Training" "DS" "2008" "Misc" 0 0 0.56 0 0.56
"3614" "WWE 2K15" "XOne" "2014" "Sports" 0.28 0.23 0 0.04 0.56
"3615" "Petz Catz Clan" "DS" "2008" "Simulation" 0.48 0.04 0 0.04 0.56
"3616" "Soul Sacrifice" "PSV" "2013" "Role-Playing" 0.18 0.09 0.22 0.06 0.56
"3617" "G-Force" "DS" "2009" "Action" 0.27 0.23 0 0.06 0.56
"3618" "Tiger Woods PGA Tour 11" "Wii" "2010" "Sports" 0.24 0.26 0 0.06 0.56
"3619" "Soldier of Fortune: Gold Edition" "PS2" "2001" "Shooter" 0.27 0.21 0 0.07 0.56
"3620" "Rune Factory: A Fantasy Harvest Moon" "DS" "2006" "Role-Playing" 0.37 0.02 0.14 0.03 0.56
"3621" "Monster Jam: Path of Destruction" "Wii" "2010" "Racing" 0.5 0.02 0 0.03 0.56
"3622" "Rapala Tournament Fishing!" "Wii" "2006" "Sports" 0.51 0 0 0.04 0.56
"3623" "MX 2002 Featuring Ricky Carmichael" "PS2" "2001" "Racing" 0.27 0.21 0 0.07 0.56
"3624" "Purr Pals" "DS" "2007" "Simulation" 0.18 0.36 0 0.02 0.56
"3625" "NCAA Football 07" "XB" "2006" "Sports" 0.42 0.12 0 0.01 0.56
"3626" "God of War: Origins Collection" "PS3" "2011" "Action" 0.39 0.08 0.02 0.06 0.56
"3627" "MX vs. ATV: Alive" "X360" "2011" "Racing" 0.37 0.14 0 0.05 0.56
"3628" "Lunar: Silver Star Story Complete" "PS" "1998" "Role-Playing" 0.27 0.18 0.06 0.04 0.55
"3629" "Dragon Ball: XenoVerse" "PS3" "2015" "Fighting" 0.15 0.2 0.14 0.07 0.55
"3630" "NBA Showtime: NBA on NBC" "PS" "1999" "Sports" 0.31 0.21 0 0.04 0.55
"3631" "ZhuZhu Pets 2: Featuring The Wild Bunch" "DS" "2010" "Simulation" 0.41 0.11 0 0.04 0.55
"3632" "Dragon Age: Inquisition" "X360" "2014" "Role-Playing" 0.35 0.16 0 0.05 0.55
"3633" "Soul Reaver 2" "PS2" "2001" "Action" 0.27 0.21 0 0.07 0.55
"3634" "Metal Gear Solid 3: Subsistence" "PS2" "2005" "Action" 0.34 0.01 0.15 0.06 0.55
"3635" "Sly Cooper: Thieves in Time" "PS3" "2013" "Platform" 0.35 0.13 0 0.08 0.55
"3636" "The Godfather (old US sales)" "XB" "2006" "Action" 0.42 0.11 0 0.02 0.55
"3637" "Daytona USA" "SAT" "1994" "Racing" 0 0 0.55 0 0.55
"3638" "Harry Potter and the Deathly Hallows - Part 1" "Wii" "2010" "Action" 0.22 0.28 0 0.05 0.55
"3639" "Tiger Woods PGA Tour 13" "PS3" "2012" "Sports" 0.24 0.22 0 0.09 0.55
"3640" "WWF Raw" "XB" "2002" "Fighting" 0.4 0.13 0 0.02 0.55
"3641" "Shin Super Robot Taisen" "PS" "1996" "Role-Playing" 0 0 0.52 0.04 0.55
"3642" "Jump Super Stars" "DS" "2005" "Fighting" 0 0 0.55 0 0.55
"3643" "Legends of WrestleMania" "PS3" "2009" "Fighting" 0.3 0.17 0 0.07 0.55
"3645" "Simple 1500 Series Vol. 73: The Invaders ~Space Invaders 1500~" "PS" "2001" "Shooter" 0.31 0.21 0 0.04 0.55
"3646" "50 Classic Games" "DS" "2009" "Misc" 0.52 0 0 0.04 0.55
"3647" "Fighting Force 2" "PS" "1999" "Action" 0.31 0.21 0 0.04 0.55
"3648" "Sakura Wars" "SAT" "1996" "Adventure" 0 0 0.55 0 0.55
"3649" "Yokai Sangokushi" "3DS" "2016" "Action" 0 0 0.55 0 0.55
"3650" "Extermination" "PS2" "2001" "Action" 0.21 0.16 0.12 0.05 0.55
"3651" "Batman: Vengeance" "PS2" "2001" "Adventure" 0.27 0.21 0 0.07 0.55
"3652" "Unit 13" "PSV" "2012" "Shooter" 0.29 0.15 0.04 0.07 0.55
"3653" "Tatsunoko vs. Capcom: Ultimate All-Stars" "Wii" "2010" "Fighting" 0.32 0.16 0.03 0.05 0.55
"3654" "TMNT" "X360" "2007" "Action" 0.47 0.04 0 0.04 0.55
"3655" "F.E.A.R." "PS3" "2007" "Shooter" 0.18 0.27 0 0.1 0.55
"3656" "Secret Agent Clank(US sales)" "PSP" "2008" "Platform" 0.33 0.22 0 0 0.55
"3657" "Assassin's Creed: Unity" "PC" "2014" "Action" 0.17 0.33 0 0.05 0.55
"3658" "Derby Stallion 04" "PS2" "2004" "Sports" 0 0 0.55 0 0.55
"3659" "NBA 2K8" "PS3" "2007" "Sports" 0.5 0.01 0 0.05 0.55
"3660" "Barbie Horse Adventures: Riding Camp" "DS" "2008" "Sports" 0.51 0 0 0.04 0.55
"3661" "CrossworDS" "DS" "2008" "Puzzle" 0.51 0 0 0.04 0.55
"3662" "Tony Hawk's Pro Skater 3" "XB" "2002" "Sports" 0.34 0.18 0 0.02 0.55
"3663" "Mega Man Zero" "GBA" "2002" "Platform" 0.22 0.08 0.24 0.01 0.55
"3664" "Contender 2" "PS" "2000" "Fighting" 0.31 0.21 0 0.04 0.55
"3665" "The Amazing Spider-Man 2 (2014)" "PS4" "2014" "Action" 0.2 0.25 0.02 0.09 0.55
"3666" "Star Wars: Dark Forces" "PS" "1996" "Shooter" 0.31 0.21 0 0.04 0.55
"3667" "SD Gundam G Generation Zero" "PS" "1999" "Strategy" 0 0 0.51 0.04 0.55
"3668" "Super Robot Taisen F" "SAT" "1997" "Strategy" 0 0 0.55 0 0.55
"3669" "Shrek 2" "XB" "2004" "Platform" 0.4 0.13 0 0.02 0.55
"3670" "Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!" "PS2" "2002" "Sports" 0 0 0.55 0 0.55
"3671" "Time Crisis: Razing Storm" "PS3" "2010" "Shooter" 0.18 0.21 0.07 0.08 0.55
"3672" "SpongeBob SquarePants: SuperSponge" "GBA" "2001" "Action" 0.39 0.15 0 0.01 0.55
"3673" "Super Robot Taisen F Kanketsuhen" "SAT" "1998" "Strategy" 0 0 0.55 0 0.55
"3674" "Enslaved: Odyssey to the West" "X360" "2010" "Action" 0.3 0.19 0 0.05 0.55
"3675" "Rune Factory 4" "3DS" "2012" "Role-Playing" 0.31 0 0.21 0.03 0.55
"3676" "Summer Sports: Paradise Island" "Wii" "2008" "Sports" 0.49 0.02 0 0.04 0.55
"3677" "Tak and the Power of Juju" "GBA" "2003" "Platform" 0.39 0.15 0 0.01 0.55
"3678" "Dynasty Warriors: Gundam 3" "PS3" "2010" "Action" 0.11 0.05 0.36 0.02 0.55
"3679" "Mortal Kombat 3" "PS" "1995" "Fighting" 0.29 0.2 0.02 0.04 0.55
"3680" "Turok: Evolution" "XB" "2002" "Shooter" 0.39 0.14 0 0.02 0.55
"3681" "Jak X: Combat Racing" "PS2" "2005" "Racing" 0.45 0.02 0 0.07 0.55
"3682" "Metro 2033" "X360" "2010" "Shooter" 0.22 0.24 0.03 0.05 0.55
"3683" "Are You Smarter than a 5th Grader? Make the Grade" "Wii" "2008" "Misc" 0.51 0 0 0.04 0.55
"3684" "American Idol" "PS2" "2003" "Misc" 0.27 0.21 0 0.07 0.55
"3685" "Top Gun: Fire at Will!" "PS" "1996" "Misc" 0.3 0.21 0 0.04 0.55
"3686" "Red Dead Revolver" "XB" "2004" "Shooter" 0.4 0.12 0 0.02 0.55
"3687" "Dragon Ball Z: Shin Budokai" "PSP" "2006" "Fighting" 0.26 0.08 0.13 0.07 0.55
"3688" "LEGO The Hobbit" "PS3" "2014" "Action" 0.12 0.32 0 0.1 0.54
"3689" "Iron Man" "PS2" "2008" "Action" 0.36 0 0 0.19 0.54
"3690" "SingStar Summer Party" "PS2" "2008" "Misc" 0 0.06 0 0.48 0.54
"3691" "Tiger Woods PGA Tour 08" "X360" "2007" "Sports" 0.49 0.02 0 0.04 0.54
"3692" "NBA Live 10" "PS3" "2009" "Sports" 0.46 0.03 0.01 0.05 0.54
"3693" "The SpongeBob SquarePants Movie" "XB" "2004" "Platform" 0.4 0.12 0 0.02 0.54
"3694" "FIFA Soccer 07" "XB" "2006" "Sports" 0.16 0.35 0 0.04 0.54
"3695" "Gekikuukan Pro Yakyuu: At the End of the Century 1999" "PS2" "2000" "Sports" 0 0 0.54 0 0.54
"3697" "Excite Truck" "Wii" "2006" "Racing" 0.4 0.03 0.08 0.04 0.54
"3698" "Sacred 2: Fallen Angel" "X360" "2009" "Role-Playing" 0.29 0.17 0.04 0.05 0.54
"3699" "System 3 presents Ferrari Challenge Trofeo Pirelli" "Wii" "2008" "Racing" 0.07 0.4 0 0.07 0.54
"3700" "Dance Dance Revolution Ultramix" "XB" "2003" "Simulation" 0.42 0.11 0 0.02 0.54
"3701" "ModNation Racers" "PSP" "2010" "Racing" 0.11 0.27 0.02 0.14 0.54
"3702" "Crash Tag Team Racing" "PS2" "2005" "Racing" 0.27 0.21 0 0.07 0.54
"3703" "Two Worlds II" "X360" "2011" "Role-Playing" 0.4 0.08 0.03 0.04 0.54
"3704" "Sonic & All-Stars Racing Transformed" "PS3" "2012" "Racing" 0.08 0.33 0.01 0.11 0.54
"3705" "Michael Jackson: The Experience" "PS3" "2011" "Misc" 0.25 0.2 0 0.08 0.54
"3706" "Front Mission 4" "PS2" "2003" "Strategy" 0.14 0.11 0.25 0.04 0.54
"3707" "The Fairly Odd Parents: Breakin' Da Rules" "GBA" "2003" "Platform" 0.39 0.14 0 0.01 0.54
"3708" "LEGO Dimensions" "PS3" "2015" "Action" 0.15 0.3 0 0.09 0.54
"3709" "Inazuma Eleven" "DS" "2008" "Role-Playing" 0 0.14 0.38 0.02 0.54
"3710" "Ninokuni: Shikkoku no Madoushi" "DS" "2010" "Role-Playing" 0 0 0.54 0 0.54
"3711" "Minecraft: Story Mode" "XOne" "2015" "Adventure" 0.29 0.21 0 0.05 0.54
"3712" "Resident Evil: Revelations 2" "PS4" "2015" "Action" 0.13 0.24 0.1 0.07 0.54
"3713" "Manhunt 2" "Wii" "2007" "Action" 0.25 0.23 0 0.06 0.54
"3714" "SRS: Street Racing Syndicate" "PS2" "2004" "Racing" 0.26 0.21 0 0.07 0.54
"3715" "Despicable Me: The Game - Minion Mayhem" "DS" "2010" "Puzzle" 0.42 0.09 0 0.04 0.54
"3716" "Def Jam: Fight for NY" "XB" "N/A" "Fighting" 0.43 0.1 0 0.02 0.54
